Plant_ID,Site,Location,Quadrat,Species,Date_Planted,Date_Measured,Age_Months,Height_cm,Num_Leaves,Flowering,Num_Flowers,Condition,Notes
,Site_B,loc_4,q4,Phormium tenax,17/12/2023,20/3/2024,,-153,208,y,6,needs attention,Weeds encroaching from all sides. Annual weed clear recommended.
,SITE_B,LOC3,Q2,Coprosma robusta,10/9/22,2/4/24,,127,90,NO,0,Fair,Weed mat placed around base. Check next visit for effectiveness.
,site_B,Loc_3,Q5,Pittosporum tenuifolium,6/6/22,28-Dec,,132,82,FALSE,0,poor,Date_Measured not recorded; recording sheet wet. Values transcribed but date lost.
,SITE_B,Loc-3,Q6,Hebe speciosa,20/12/2019,20/4/20,,76,85,FALSE,0,not great,Gecko under adjacent rock. No new growth concerns.
,Site_A,loc_1,Q4a,Coprosma robusta,19/8/23,,,57,52,FALSE,0,not great,Kikuyu rhizomes present beneath mulch layer. Difficult to assess root competition.
,Site_A,Loc_1,Q4a,Phormium tenax,13/09/2021,5/7/23,,50,163,NO,0,in decline,Multiple crowns present; measured tallest. Sandy topsoil exposed around base.
,site_A,Loc_2,Q02,Pseudopanax crassifoluius,,28-Aug,,62,211,NO,0,needs attention,Some couch grass at root zone. Otherwise healthy.
,Site_A,loc_2,Q3,Pseudopanax crassifolius,12/3/19,28-Jul,,66,184,NO,0,not great,Possibly dead; no new growth visible. Bark peeling from lower stem. Check at next visit.
,Site_B,Loc_4,Q3,Hebe speciossa,5-Oct,20/12/20,,69,137,TRUE,32,Poor,Bindweed removed from stem during visit. Will recheck next survey.
,site_A,Location_3,Q2,Leptospermum scoparium,3/8/20,8/1/21,,102,271,No,0,not bad,Ferns growing adjacent; good habitat complexity developing. Soil moist.
,site_b,Loc_l,Q5,Phormium tenax,12-Jan,27/10/2022,,57,71,FALSE,0,not great,Dense tradescantia around base. Weed mat removed during visit.
,Site_A,Loc_l,Q6,Pseudopanax crassifolius,6/28/23,10/10/23,,64,65,FALSE,0,could be better,Dappled light from pohutukawa overhead. Lichen on stem; sign of clean air.
,Site_B,Loc_3,Q5,Coprosma robusta,18/04/2019,13/1/2020,,98,36,y,9,POOR,Wax-eye activity observed in adjacent canopy.
,site_B,Location_4,Q02,Pittosporum tenuifolum,21/12/2024,2/7/25,,-97,114,yes,13,looking great,Dense gorse noted 5m north. Not yet encroaching but monitoring required.
,Site B,Loc_2,Q3a,Coprosma robusta,27/11/2018,20/7/2019,,75,22,yes,5,POOR,Sedge competition at base but manageable.
,site_A,Loc_2,Q2,Pseudopanax crassifolius,13/1/2017,11/7/17,,57,264,FALSE,0,,Dense leaf litter around base approximately 4cm deep. Strong canopy overhead.
,Site_A,Loc_2,Q2,Hebe speciosa,25/1/2020,12/8/21,,56,17,Y,21,great condition,Bellbird observed in adjacent canopy. Vigorous; multiple flower spikes developing.
,Site_B,Loc_3,Q6,Coprosma robusta,7/7/21,25/4/2022,,37,46,No,7,dying,Bindweed at lower stem only. Removed.
,Site A,Loc_3.,Q2,Phormium tenax,,20/8/2020,,67,13.2,TRUE,30,Reasonable,Bellbird observed in adjacent canopy. Vigorous; multiple flower spikes developing.
,Site_B,loc_4,Q 5,Hebe speciosa,19/7/2020,29/6/22,,45,280,n,0,great condition,Moderate weed pressure. Plant coping well despite competition.
,Site_A,Loc_2,Q 6,Pittosporum tenuifolium,10/1/23,25/9/2024,,110,113,NO,0,thriving,Sandy topsoil exposed around base. Multiple stems.
,Site_B,Location_1,Q1,Pittosporum tenuifolium,20/3/2024,25/12/2025,,153,29,TRUE,35,thriving,Weeds encroaching from all sides. Annual weed clear recommended.
,Site_B,Loc_2,Q 2,Phormium tenax,14/1/2018,4/8/19,,,75,no,0,average,Weed pressure moderate. Plant coping.
,Site_B,Loc_2,Q5.,Pittosporum tenuifolium,22-Nov,31/7/2024,,105,179,N,0,Healthy,Moderate weed pressure. Plant coping well despite competition.
,Site_b,Loc_3.,Q3,Pseudopanax crassifolius,24/4/18,10/10/19,,2.3,113,TRUE,0,ok,Heavily suppressed by surrounding vegetation. No new growth visible this visit.
,Site_A,LOC_3,quad4,Coprosma robusta,24/6/18,5/31/20,,87,73,YES,26,ok,Condition not assessed; area inaccessible due to wet ground.
,site_A,Loc_3,Q3,Hebe speciosa,28/11/2024,10/17/25,,55,65,0,0,reasonable,Weed pressure moderate. Plant coping.
,Site_B,Loc 2,quad3,Leptospermum scoparium,27.03.22,27/12/2022,,130,215,TRUE,23,ok,Old plastic bag caught in branches. Area checked for further litter.
,Site_A,Loc_3,Q02,Pittosporum tenuifolium,08.10.17,2/6/18,,31,49,NO,0,Healthy,Dense gorse noted 5m north. Not yet encroaching but monitoring required.
,Site_B,Loc_1,Q11,Leptospermum scoparium,10/5/22,5/10/22,,75,23,no,0,not bad,Dense ground cover competing. Grass encroaching from all sides.
,Site_A,Location_1,quad1,Leptospermum scoparium,25/6/2022,12/3/24,,40,132,No,0,fair,Flower count unreliable; counted during windy conditions. Possibly inaccurate.
,SiteA,LOC_4,quad3,Hebe speciosa,28/10/19,23/12/2020,,79,98,TRUE,20,Good,Strong canopy developing. Good barrier effect visible at quadrat edge.
,Site_A,Loc_2,Q1,Phormium tenax,5/3/24,18/7/2024,,163,169,1,5,struggling,Small frog observed nearby. Loam soil exposed at base.
,Site B,loc_4,Q5,Leptospermum scoparium,16/7/2024,1/8/25,,130,35,TRUE,4,thriving,Bindweed wrapped around lower branch. Removed during visit.
,site_a,Loc_2,Q 6,Pseudopanax crassifolius,7/3/18,17/1/2020,,20,61,No,0,fair,Measurement uncertain; steep ground made positioning difficult. Recheck advised.
,Site_B,Loc_4,Q1,Hebe speciosa,28/3/2017,14/4/2018,,65,138,no,0,great condition,Weeds encroaching from all sides. Annual weed clear recommended.
,Site_B,loc_4,quad2,Hebe speciosa,20/1/2023,24/05/2023,,46,98,No,0,GOOD,Heavy kikuyu pressure from east side. Root zone likely affected.
,Site_B,Loc_1,Q2,Coprosma robusta,22.02.22,11/27/22,,90,249,TRUE,34,Reasonable,Tradescantia spreading from west. Competition increasing significantly.
,Site_B,loc_04,Q6a,Pittosporum tenuifolium,25/5/18,25/9/2018,,97,117,YES,29,Excellent,Berries present; fruiting plant.
,Site_A,Loc_4,q4,Leptospermum scoparium,13/2/2017,10.06.18,,99,120,TRUE,22,needs attention,Ferns growing adjacent; good habitat complexity developing. Soil moist.
,Site_a,Location_2,Q4.,Pittosporum tenuifolum,1/18/19,4/22/20,,34,188,No,0,could be dead,Coastal exposure evident. Salt burn on some older leaves. Root anchoring looks strong.
,Site_A,Loc-4,Q 3,Phormium tenax,24/6/2022,15/12/2023,,57,149,0,0,Excellent,Windburn on leaves. Stem very solid.
,Site_B,LOC_1,quad6,Phormium tenax,23/5/24,16/6/2025,,189,181,0,0,thriving,Percentage_Cover hard to assess; dense grass cover makes boundary unclear.
,Site_B,Loc_3,quad4,Hebe speciosa,23/9/2023,2/11/24,,18,273,No,0,Average,Heavily shaded by dense manuka above. Etiolated growth form.
,Site_B,Loc-4,Q6,Leptospermum scoparium,22/6/2022,15/6/2024,,56,245,no,0,not great,"Standing water, well draining. Plant vigorous."
,SITE_B,Loc_4,Q6.,Leptospermum scoparium,18/4/19,1/8/20,,86,54,FALSE,0,reasonable,Some couch grass at root zone. Otherwise healthy.
,Site_A,Loc_1,Q1,Pittosporum tenuifolium,16/9/2019,25/4/20,,126,268,TRUE,21,average,Rubbish found under plant and removed. Soft soil around roots.
,Site_B,loc_1,q6,Phormium ternax,19/7/2017,14/5/2018,,100,52,yes,9,Fair,Very little weed competition here. Natural leaf litter forming.
,Site_b,LOC4,Q06,Pittosporum tenuifolium,07.12.24,21/7/2025,,123,139,yes,23,reasonable,Heavy kikuyu pressure from east side. Root zone likely affected.
,SITE_B,Loc_2,quad6,Phormium ternax,9-Sep,9/2/22,,73,131,0,0,needs attention,Height not recorded; measuring tape misplaced during visit.
,Site_A,LOC_2,QI,Hebe speciosa,16-Jun,23.09.19,,21,138,NO,0,thriving,Dappled light from pohutukawa overhead. Lichen on stem; sign of clean air.
,Site_B,LOC4,Q2,Phormium tenax,9/11/23,26/12/2024,,42,31,1,6,poor,Bindweed removed from stem during visit. Will recheck next survey.
,Site_B,loc_3,Q4,Coprosma robusta,1/25/19,21/11/2019,,107,204,TRUE,2,looking great,Condition not fully assessed; heavy rain during visit. Check at next survey.
,Site_a,Loc_3,quad4,Leptospermum scoparium,5/9/24,19/11/25,,49,132,n,0,Good,Height measurement may be in error; recheck next visit. Loam soil exposed at base.
,site_B,Loc_1,quad1,Hebe speciosa,27/8/2021,21/06/2023,,88,23,0,0,ok,Sandy topsoil exposed around base. Multiple stems.
,Site_A,Loc_1,Q2,Phormium tenax,23/4/2023,9/12/23,,191,183,FALSE,0,Reasonable,Coastal exposure evident. Salt burn on some older leaves. Root anchoring looks strong.
,Site_A,Loc-1,Q04,Pittosporum tenuifolium,23/9/2023,15/8/24,,46,256,YES,11,Reasonable,Height measurement may be in error; recheck next visit. Loam soil exposed at base.
,Site_a,Loc_1,Q2,Coprosma robusta,10/8/21,12/2/23,,72,182,NO,0,not too bad,Height not recorded; measuring tape misplaced during visit.
,Site_A,Loc_4,Q2,Pittosporum tenuifolium,9/5/22,18-Sep,,46,245,0,0,poor,Wax-eye activity observed in adjacent canopy.
,Site_A,Loc_2,Q5a,Hebe speciosa,17/02/2018,28/2/2019,,48,214,Y,25,looking great,Dense ground cover competing. Grass encroaching from all sides.
,Site_A,Loc_l,q2,Phormium tenax,11/3/24,11/6/24,,85,279,Y,16,good,Heavily suppressed by surrounding vegetation. No new growth visible this visit.
,Site_B,LOC4,Q4,Pseudopanax crassifolius,26/4/2017,17/8/2018,,16,93,0,0,could be dead,Height not recorded; measuring tape misplaced during visit.
,Site_B,LOC1,Q1,Hebe speciosa,27/11/2018,25/10/2019,,67,71,n,0,Good,Some couch grass at root zone. Otherwise healthy.
,Site_B,Location_4,Q5,Hebe speciosa,9-Jul,8/26/21,,47,46,TRUE,1,healthy,Kikuyu removed during visit. Exposed root damage minor.
,Site_b,LOC2,Q4,Hebe speciosa,2/12/20,19/6/21,,53,131,1,17,thriving,Bindweed wrapped around lower branch. Removed during visit.
,Site_A,Location_2,Q 6,Hebe speciosa,25/11/2019,13/7/2021,,60,209,NO,0,struggling,Rubbish found under plant and removed. Soft soil around roots.
,Site_A,Loc-2,Q 6,Pittosporum tenuifolium,21.08.23,6/4/24,,58,272,NO,0,looking great,Num_Flowers count approximate; plant too dense to count accurately.
,SITE_A,loc_2,q3,Hebe speciosa,20/12/2019,7/3/20,,88,160,Y,13,Reasonable,Bellbird observed in adjacent canopy. Vigorous; multiple flower spikes developing.
,Site_B,LOC4,Q3,Pseudopanax crassifolius,6/23/17,7/12/17,,36,110,TRUE,28,not bad,Grass encroaching from north. Hand pull recommended.
,Site_B,Loc_1,quad2,Phormium tenax,4-Sep,22/12/2018,,43,223,Yes,16,struggling,Bindweed on lower branches. Condition hard to assess through weed cover.
,Site_A,loc_2,quad6,Pittosporum tenuifolium,6/6/22,12/10/23,,155,73,1,8,Poor,Dense leaf litter around base approximately 4cm deep. Strong canopy overhead.
,Site_A,Loc_2,Q1,Phormium tenax,18/07/2017,16/7/2019,,101,132,FALSE,0,Average,Possibly dead; no new growth visible. Bark peeling from lower stem. Check at next visit.
,Site_A,Loc-4,Q6a,Hebe speciosa,23-Apr,19/8/2024,,52,84,1,4,average,Dense ground cover competing. Grass encroaching from all sides.
,Site_A,LOC2,Q6,Pittosporum tenuifolium,12/22/24,10/1/25,,60,66,TRUE,30,Healthy,Sedge competition at base but manageable.
,Site_A,LOC2,Q 4,Phormium tenax,25/12/22,12/9/24,,118,154,NO,0,not bad,Pukeko tracks in mud nearby. Ground cover looking healthy.
,Site_B,Loc_1,Q11,Coprosma robusta,13/10/2019,20/07/2020,,26,169,FALSE,0,reasonable,Weed pressure reducing light to lower leaves. Growth slowing.
,Site_B,Loc_3,Q1,Phormium tenax,5/11/17,8/6/19,,80,208,y,17,Fair,Excellent specimen. Bird droppings on upper leaves; likely a perch site.
,Site_A,Loc-1,quad1,Pseudopanax crassifolius,18/11/24,6/2/25,,53,96,n,0,OK,Ferns growing adjacent; good habitat complexity developing. Soil moist.
,Site_A,Loc_1,Q2.,Phormium tenax,1/1/22,26/12/2022,,49,211,No,0,excellent,Soil cracked around stem. Plant possibly stressed from dry conditions.
,SITE_A,Location_4,Q1,Pitosporum tenuifolium,10/2/21,8/30/22,,79,83,no,0,Excellent,Windburn on leaves. Stem very solid.
,Site_b,Loc-3,Q1,Hebe speciosa,13/10/2018,7/2/20,,28,33,N,0,Average,Ferns growing adjacent; good habitat complexity developing. Soil moist.
,Site_b,Loc_2,Q5,Phormium tenax,24/9/2020,30/08/2021,,176,494,TRUE,18,very healthy,Condition not assessed; area inaccessible due to wet ground.
,Site_B,Loc_4,quad3,Coprosma robustus,4-Oct,4/5/20,,28,9.6,NO,0,fair,Moderate weed pressure. Plant coping well despite competition.
,Site_A,Loc_4,Q2,Pittosporum tenuifolium,19-Sep,3/6/23,,262,256,NO,0,GOOD,"Standing water, well draining. Plant vigorous."
,Site_A,Loc_4,Q5,Leptospermum scoparium,15/9/17,1/23/18,,88,75,1,28,Excellent,Dappled light from pohutukawa overhead. Lichen on stem; sign of clean air.
,site_a,Location_1,Q5.,Leptospermum scoparium,4/17/24,4/7/24,,102,125,n,0,struggling,Multiple crowns present; measured tallest. Sandy topsoil exposed around base.
,Site_B,Loc_4,Q3,Coprosma robusta,6/12/22,8/10/23,,111,498,YES,11,Good,Kikuyu removed during visit. Exposed root damage minor.
,Site_A,Loc_1,q6,Coprosma robusta,2/6/23,18.07.24,,4.1,179,yes,16,needs attention,Excellent specimen. Bird droppings on upper leaves; likely a perch site.
,site_b,Loc_3,Q03,Coprosma robusta,20/1/17,16/1/2019,,57,207,FALSE,0,healthy,Bindweed wrapped around lower branch. Removed during visit.
,Site_A,Loc_3.,Q2,Phormium tenax,7/12/23,6/4/24,,168,43,FALSE,0,reasonable,Coastal exposure evident. Salt burn on some older leaves. Root anchoring looks strong.
,Site_B,Loc_2,Q6,Hebe speciosa,13/8/2017,15/6/2018,,74,39,y,17,struggling,Weed pressure moderate. Plant coping.
,SITE_A,Loc_3,Q5a,Phormium tenax,9/8/24,13/3/2025,,121,246,TRUE,6,great condition,Multiple crowns present; measured tallest. Sandy topsoil exposed around base.
,Site_b,Loc_3,Q6,Pittosporum tenuifolium,4/12/20,7/3/22,,80,213,Y,17,GOOD,Condition not fully assessed; heavy rain during visit. Check at next survey.
,Site_A,Loc-1,Q3,Coprosma robusta,4/17/17,20-May,,39,233,0,0,in decline,Ferns growing adjacent; good habitat complexity developing. Soil moist.
,site_A,LOC4,Q 4,Pittosporum tenuifolium,20-Apr,18/12/2017,,131,85,FALSE,0,needs attention,Coastal exposure evident. Salt burn on some older leaves. Root anchoring looks strong.
,Site_A,LOC2,Q2,Coprosma robusta,1/5/19,31/10/2020,,112,136,0,0,looking great,Dense leaf litter around base approximately 4cm deep. Strong canopy overhead.
,Site_a,Loc_4,Q6,Hebe speciosa,4/2/24,13/12/25,,29,247,TRUE,1,average,Flower count unreliable; counted during windy conditions. Possibly inaccurate.
,Site_B,Loc_2,quad2,Pittosporum tenuifolium,10/11/18,11/4/20,,106,89,0,0,Excellent,Dappled light from pohutukawa overhead. Lichen on stem; sign of clean air.
,Site_A,LOC_4,Q01,Pseudopanax crassifolius,5/15/23,20-Dec,,38,253,y,27,excellent,Percentage_Cover hard to assess; dense grass cover makes boundary unclear.
,SiteB,Loc_2,q4,Phormium tenax,11/11/23,1/3/25,,51,197,Yes,0,POOR,Condition not fully assessed; heavy rain during visit. Check at next survey.
,SITE_A,Loc-1,Q3,Coprosma robusta,10/1/23,6/30/24,,53,55,no,0,not too bad,"Standing water, well draining. Plant vigorous."
,Site A,Loc-3,Q3,Coprosma robusta,6/1/24,12/13/24,,75,136,n,0,looking great,Very healthy. Berries present on adjacent coprosma; good fruiting season this year.
,SiteB,loc_3,Q4.,Leptospermum scoparium,22/2/2018,24/6/18,,79,24,0,0,ok,Dappled light from pohutukawa overhead. Lichen on stem; sign of clean air.
,Site_B,Loc_1,Q2,Pseudopanax crassifolius,8-Jun,6/2/18,,34,23,1,21,fair,Leaf tips browning. Tradescantia present within 1m.
,Site_B,Loc_1,Q3,Phormium tenax,22/7/24,19/4/2025,,114,186,1,17,ok,Tradescantia spreading from west. Competition increasing significantly.
,Site_A,Loc_1,Q5,Hebe speciosa,27/2/2024,24-Jul,,61,240,0,0,struggling,Heavily suppressed by surrounding vegetation. No new growth visible this visit.
,SITE_B,Loc_4,Q4,Phormium tenax,10/8/17,26/5/19,,122,253,Y,24,healthy,Very windy on day of measurement. Some difficulty holding height rod steady.
,Site_A,Loc_l,Q6,Pittosporum tenuifolium,26.08.22,14/8/23,,38,245,0,0,very healthy,Weeds encroaching from all sides. Annual weed clear recommended.
,Site_B,Loc_2,q6,Pseudopanax crassifolius,1/5/17,4/8/17,,46,186,FALSE,0,looking great,Oxalis present around base. Spreading fast; consider manual removal.
,site_a,Loc_2,q4,Leptospermum scoparium,15/7/2018,12/2/20,,126,,y,11,Good,Possibly dead; no new growth visible. Bark peeling from lower stem. Check at next visit.
,Site_A,Loc_1,Q6,Phormium tenax,7/8/21,28.11.21,,154,233,TRUE,23,in decline,Possibly dead; no new growth visible. Bark peeling from lower stem. Check at next visit.
,SiteA,Loc-1,quad3,Coprosma robusta,16-Jun,18/06/2025,,100,224,no,0,Good,"Standing water, well draining. Plant vigorous."
,SITE_B,Loc_4,quad3,Coprosma robusta,8/26/22,8-Apr,,41,266,Yes,23,Poor,Weed pressure reducing light to lower leaves. Growth slowing.
,Site_A,loc_2,Q5,Coprosma robusta,7/9/18,2-Feb,,100,272,FALSE,0,GOOD,Small frog observed nearby. Loam soil exposed at base.
,Site_a,Loc_3,Q1,Phormium tenax,16/1/2023,13/9/2024,,172,258,FALSE,0,healthy,Gecko under adjacent rock. No new growth concerns.
,Site_A,Loc_1,Q1,Pseudopanax crassifolius,25.10.22,15/6/2024,,24,112,N,0,POOR,Bindweed on lower branches. Condition hard to assess through weed cover.
,Site_A,Loc_3,q6,Pseudopanax crassifolius,2/18/24,24/10/2025,,63,51,TRUE,27,Excellent,Sandy topsoil exposed around base. Multiple stems.
,Site_B,LOC2,quad2,Hebe speciosa,27/6/2022,30/6/2023,,,280,yes,33,could be better,Weed pressure reducing light to lower leaves. Growth slowing.
,Site_A,Location_2,q1,Pseudopanax crassifolius,1/10/18,25/4/2018,,17,-174,1,29,Poor,Possibly dead; no new growth visible. Bark peeling from lower stem. Check at next visit.
,Site_A,LOC3,Q4.,Leptospermum scoparium,27/1/19,4/12/20,,56,50,yes,8,Excellent,Dappled light from pohutukawa overhead. Lichen on stem; sign of clean air.
,Site_A,Loc_3,q3,Pittosporum tenuifolium,6/5/19,6/10/20,,58,68,N,0,healthy,Coastal exposure evident. Salt burn on some older leaves. Root anchoring looks strong.
,Site_B,Loc_3,Q2,Coprosma robusta,22.03.20,10/12/21,,85,123,yes,21,healthy,Strong canopy developing. Good barrier effect visible at quadrat edge.
,SiteB,Loc-2,Q6,Coprosma robusta,16/10/2017,23/6/2018,,113,187,FALSE,0,very poor,Sandy topsoil exposed around base. Multiple stems.
,Site_B,loc_2,Q5,Phormium tenax,16/5/2021,3/25/23,,57,220,FALSE,7,struggling,Kikuyu rhizomes present beneath mulch layer. Difficult to assess root competition.
,Site_B,Loc_l,Q01,Leptospermum scoparium,03.06.21,9-Dec,,39,143,TRUE,9,poor,Heavily shaded by dense manuka above. Etiolated growth form.
,site_a,Loc_l,Q5.,Hebe speciosus,14/10/2022,15/6/23,,17,26,no,0,great condition,Percentage_Cover hard to assess; dense grass cover makes boundary unclear.
,Site_B,Loc-4,Q4,Leptospermum scoparium,22/10/2023,14/6/24,,71,92,No,0,great condition,Height not recorded; pole broken on site. Leaf count approximate.
,SITE_A,LOC_2,Q2,Pittosporum tenuifolium,25/06/2024,3/2/25,,159,106,FALSE,0,Healthy,Percentage_Cover hard to assess; dense grass cover makes boundary unclear.
,Site A,Loc-2,quad2,Leptospermum scoparium,17-May,30/04/2023,,73,241,yes,26,Healthy,Sedge competition at base but manageable.
,Site_B,Loc_2,Q3,Hebe speciosa,24-Oct,27/3/21,,87,122,0,0,in decline,Very windy on day of measurement. Some difficulty holding height rod steady.
,Site_A,loc_3,Q5,Pseudopanax crassifolius,10/3/20,27/10/2021,,56,177,Yes,21,Fair,Condition not fully assessed; heavy rain during visit. Check at next survey.
,Site_B,LOC_4,q6,Hebe speciosa,6/7/20,9/6/21,,42,215,FALSE,0,thriving,Small frog observed nearby. Loam soil exposed at base.
,site_b,Loc_1,Q2,Coprosma robusta,16/11/20,19/5/22,,94,80,yes,16,dying,Dense tradescantia around base. Weed mat removed during visit.
,site_a,Loc_3,Q6,Pseudopanax crassifolius,23/4/2021,12/7/21,,65,117,Yes,29,Reasonable,Couch grass competition at edge of root zone. Plant maintaining itself.
,Site_a,LOC_3,Q06,Phormiun tenax,12/12/23,23/03/2024,,125,154,Yes,3,GOOD,Leaf litter accumulating around base. Sign of establishing well.
,Site A,Loc_4,Q3.,Leptospermum scoparium,23/11/2024,1/7/25,,30,173,FALSE,0,reasonable,Bellbird observed in adjacent canopy. Vigorous; multiple flower spikes developing.
,Site_A,Loc_1,Q02,Pseudopanax crassifolus,13/7/2017,27/11/2018,,22,266,yes,22,thriving,Standing water present in shallow depression 2m to south.
,Site_A,Loc-3,Q2,Leptospermum scoparium,1/2/21,20/8/2021,,59,205,yes,9,thriving,Dense leaf litter around base approximately 4cm deep. Strong canopy overhead.
,Site_B,Loc_2,Q5,Leptospermum scoparium,16/7/2022,20/04/2023,,54,87,Y,17,reasonable,Kikuyu removed during visit. Exposed root damage minor.
,site_a,Location_4,Q1.,Hebe speciosa,21/07/2022,15/10/2022,,29,79,no,0,could be dead,Kikuyu removed during visit. Exposed root damage minor.
,Site_a,LOC2,Q6,Leptospermum scoparium,11/9/23,9/1/25,,50,88,FALSE,0,great condition,Very exposed ridge position. Windburn on uppermost leaves. Stem diameter looks good.
,Site_A,Loc_4,Q5,Phormium tenax,21-Sep,31-May,,89,265,0,0,very poor,Dappled light from pohutukawa overhead. Lichen on stem; sign of clean air.
,Site_B,LOC4,Q5,Pseudopanax crassifolius,18/3/2017,31/7/2018,,68,250,No,0,,Dappled light from pohutukawa overhead. Lichen on stem; sign of clean air.
,Site_B,Loc 2,Q5a,Hebe speciosa,27/8/2024,31/8/2025,,26,211,1,22,poor,Some couch grass at root zone. Otherwise healthy.
,Site_B,loc_04,Q2,Hebe speciosa,18/11/20,8/9/22,,69,197,Y,18,Average,Sandy topsoil exposed around base. Multiple stems.
,site_A,Loc-1,Q6,Leptospermum scoparium,17/11/2017,24/01/2018,,81,104,FALSE,0,not great,Leaf litter accumulating around base. Sign of establishing well.
,Site_A,loc_3,Q5,Coprosma robusta,9-Dec,25/6/2021,,48,222,Yes,17,Poor,Multiple crowns present; measured tallest. Sandy topsoil exposed around base.
,Site_A,LOC4,Q 2,Pittosporum tenifolium,27/6/20,17/09/2020,,125,260,FALSE,0,looking great,Leaf tips browning. Tradescantia present within 1m.
,site_B,Loc_1,Q4,Leptospermum scoparium,3/11/24,25/12/2025,,30,218,N,0,OK,Couch grass competition at edge of root zone. Plant maintaining itself.
,Site B,Loc_3.,Q11,Pittosporum tenuifolium,5/4/21,10/2/23,,67,55,n,0,not great,Heavily suppressed by surrounding vegetation. No new growth visible this visit.
,SiteB,Loc_3.,Q3,Phormium tenax,9/8/22,11/3/24,,142,199,YES,-25,healthy,Weed pressure moderate. Plant coping.
,Site_B,Loc_3.,Q1.,Coprosma robusta,22/01/2023,18/10/24,,36,15.3,FALSE,0,Fair,Kikuyu rhizomes present beneath mulch layer. Difficult to assess root competition.
,site_B,Loc_1,Q04,Pittosporum tenuifolium,6/6/19,,,49,95,No,0,excellent,Dense ground cover competing. Grass encroaching from all sides.
,SiteA,LOC_3,Q04,Hebe speciosa,20/5/21,1/13/23,,57,129,NO,0,very healthy,Bellbird observed in adjacent canopy. Vigorous; multiple flower spikes developing.
,Site_B,Loc_3,Q2,Coprosma robusto,,23/3/2021,,90,213,YES,17,Excellent,Percentage_Cover difficult to assess on steep slope. Value may be under/overestimated.
,Site_A,loc_3,quad4,Hebe speciosa,12/5/24,23-Oct,,76,25,N,0,reasonable,Berries present; fruiting plant.
,site_b,Loc 2,Q5a,Coprosma robusta,26/12/21,2/10/22,,124,235,No,0,Average,Gecko under adjacent rock. No new growth concerns.
,site_A,Loc_3,Q3,Leptospernum scoparium,5-Jul,5/7/23,,108,176,FALSE,0,excellent,Rubbish found under plant and removed. Soft soil around roots.
,Site B,Loc_1,quad4,Hebe speciosa,12/11/18,9-May,,53,74,NO,0,great condition,Kikuyu removed during visit. Exposed root damage minor.
,SiteA,Loc_l,Q1,Pittosporum tenuifolium,10/12/20,24.05.21,,66,247,FALSE,0,Excellent,Very exposed ridge position. Windburn on uppermost leaves. Stem diameter looks good.
,SITE_B,LOC_2,QI,Hebe speciosa,19/10/2024,23/8/25,,54,22,TRUE,26,Good,Moderate weed pressure. Plant coping well despite competition.
,Site_A,Loc_4,Q11,Leptosperumm scoparium,24/4/21,12-Mar,,81,139,NO,0,not great,Sedge competition at base but manageable.
,Site_B,loc_4,Q2.,Leptospernum scoparium,18/7/17,10/11/18,,59,135,TRUE,19,healthy,Grass encroaching from north. Hand pull recommended.
,Site_B,Loc_1,quad2,Pseudopanax crassifolius,,7/8/25,,32,73,FALSE,0,good,Heavily suppressed by surrounding vegetation. No new growth visible this visit.
,Site A,LOC2,q3,Coprosma robusta,4/12/23,22/5/2025,,1270,232,FALSE,0,not great,Very windy on day of measurement. Some difficulty holding height rod steady.
,Site B,Loc_2,Q3.,Pittosporum tenuifolium,4/2/23,24/11/24,,115,216,1,14,healthy,Weed pressure reducing light to lower leaves. Growth slowing.
,site_a,Loc_1,Q4,Pseudopanax crassifolius,05.04.19,4/28/20,,51,207,0,0,good,Very exposed ridge position. Windburn on uppermost leaves. Stem diameter looks good.
,Site_A,loc_3,Q1,Hebe speciosa,5/10/18,1-Apr,,19,140,yes,17,OK,Bellbird observed in adjacent canopy. Vigorous; multiple flower spikes developing.
,site_B,Loc_4,quad1,Coprosma robusta,24/4/2024,27/7/2024,,51,174,TRUE,20,average,Heavily suppressed by surrounding vegetation. No new growth visible this visit.
,site_b,LOC3,Q3.,Phormium tenax,17-Jul,15-Nov,,42,198,yes,11,Healthy,Flower count unreliable; counted during windy conditions. Possibly inaccurate.
,Site_B,Loc_4,Q4,Hebe speciosa,26-Jun,4/12/21,,35,68,NO,0,very healthy,Percentage_Cover hard to assess; dense grass cover makes boundary unclear.
,site_B,Location_1,Q 6,Hebe speciosa,27-Jul,10/6/20,,42,21,NO,0,Healthy,Bindweed removed from stem during visit. Will recheck next survey.
,site_b,loc_4,Q5,Pseudopanax crassifolius,9/5/23,27/11/2024,,46,194,FALSE,0,struggling,Some couch grass at root zone. Otherwise healthy.
,site_a,Loc_3,Q6,Pittosporum tenuifolium,3/4/22,26/9/2023,,5.3,254,TRUE,30,POOR,Standing water present in shallow depression 2m to south.
,Site_A,Loc_3,Q4,Hebe speciosa,1/5/24,,,35,21,Yes,8,in decline,Strong canopy developing. Good barrier effect visible at quadrat edge.
,Site_A,Loc_3,Q5,Pseudopanax crassifolius,15/12/17,9/15/18,,65,86,TRUE,31,Fair,Rubbish found under plant and removed. Soft soil around roots.
,Site_B,Loc_3.,Q4a,Hebe speciosa,19.12.23,11/13/25,,126,59,NO,0,not bad,Sedge competition at base but manageable.
